,mod_date,pub_date,cvss,cwe_code,cwe_name,
CVE-2008-7273,18/11/2019 22:15,18/11/2019 22:15,4.6,59, Improper Link Resolution Before File Access ('Link Following'),
CVE-2019-17085,18/11/2019 21:15,18/11/2019 21:15,4,611, Improper Restriction of XML External Entity Reference,
CVE-2019-15054,18/11/2019 21:15,18/11/2019 21:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-12409,18/11/2019 21:15,18/11/2019 21:15,7.5,434, Unrestricted Upload of File with Dangerous Type,
CVE-2019-10070,18/11/2019 21:15,18/11/2019 21:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2012-4439,18/11/2019 21:15,18/11/2019 21:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2012-4438,18/11/2019 21:15,18/11/2019 21:15,6.5,20, Improper Input Validation,
CVE-2019-18215,18/11/2019 20:15,18/11/2019 20:15,4.4,426, Untrusted Search Path,
CVE-2019-10763,18/11/2019 20:15,18/11/2019 20:15,4,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
CVE-2019-3424,18/11/2019 19:28,18/11/2019 19:15,6.4,287, Improper Authentication,
CVE-2019-3423,18/11/2019 19:28,18/11/2019 19:15,5,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),
CVE-2019-12311,18/11/2019 19:28,18/11/2019 19:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-12299,18/11/2019 19:28,18/11/2019 19:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-12271,18/11/2019 19:28,18/11/2019 19:15,7.5,434, Unrestricted Upload of File with Dangerous Type,
CVE-2018-20687,18/11/2019 19:28,18/11/2019 19:15,7.5,611, Improper Restriction of XML External Entity Reference,
CVE-2019-5688,18/11/2019 18:15,18/11/2019 18:15,7.2,269, Improper Privilege Management,
CVE-2019-5102,18/11/2019 18:15,18/11/2019 18:15,4.3,295, Improper Certificate Validation,
CVE-2019-5101,18/11/2019 18:15,18/11/2019 18:15,4.3,295, Improper Certificate Validation,
CVE-2019-19085,18/11/2019 16:33,18/11/2019 16:15,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-19084,18/11/2019 16:33,18/11/2019 16:15,4,434, Unrestricted Upload of File with Dangerous Type,
CVE-2019-17058,18/11/2019 16:33,18/11/2019 16:15,6.5,434, Unrestricted Upload of File with Dangerous Type,
CVE-2019-17057,18/11/2019 16:33,18/11/2019 16:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-14467,18/11/2019 16:33,18/11/2019 16:15,4.6,20, Improper Input Validation,
CVE-2019-19083,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19082,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19081,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19080,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19079,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19078,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19077,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19076,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19075,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19074,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19073,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19072,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19071,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19070,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19069,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19068,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19067,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19066,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19065,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19064,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19063,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19062,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19061,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19060,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19059,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19058,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19057,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19056,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19055,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19054,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19053,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19052,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19051,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19050,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19049,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19048,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19047,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19046,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19045,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19044,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19043,18/11/2019 6:15,18/11/2019 6:15,7.8,400, Uncontrolled Resource Consumption,
CVE-2019-19041,17/11/2019 21:15,17/11/2019 21:15,9,78, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),
CVE-2019-19040,17/11/2019 21:15,17/11/2019 21:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-19035,17/11/2019 18:15,17/11/2019 18:15,4.3,125, Out-of-bounds Read,
CVE-2019-19022,17/11/2019 18:15,17/11/2019 18:15,5,200, Information Exposure,
CVE-2019-19012,17/11/2019 18:15,17/11/2019 18:15,7.5,190, Integer Overflow or Wraparound,
CVE-2019-19011,17/11/2019 18:15,17/11/2019 18:15,5,476, NULL Pointer Dereference,
CVE-2019-19010,16/11/2019 1:15,16/11/2019 1:15,7.5,20, Improper Input Validation,
CVE-2019-16762,15/11/2019 23:15,15/11/2019 23:15,4.9,20, Improper Input Validation,
CVE-2019-16761,15/11/2019 23:15,15/11/2019 23:15,4.9,20, Improper Input Validation,
CVE-2019-6664,15/11/2019 21:30,15/11/2019 21:15,5,20, Improper Input Validation,
CVE-2019-6663,15/11/2019 21:30,15/11/2019 21:15,4.3,20, Improper Input Validation,
CVE-2019-6662,15/11/2019 21:30,15/11/2019 21:15,4,532, Inclusion of Sensitive Information in Log Files,
CVE-2019-6661,15/11/2019 21:30,15/11/2019 21:15,5,400, Uncontrolled Resource Consumption,
CVE-2019-6660,15/11/2019 21:30,15/11/2019 21:15,5,400, Uncontrolled Resource Consumption,
CVE-2019-6659,15/11/2019 21:30,15/11/2019 21:15,5,20, Improper Input Validation,
CVE-2019-18372,15/11/2019 18:42,15/11/2019 18:15,7.2,269, Improper Privilege Management,
CVE-2019-12759,15/11/2019 18:42,15/11/2019 18:15,7.2,269, Improper Privilege Management,
CVE-2019-12758,15/11/2019 18:42,15/11/2019 18:15,7.2,20, Improper Input Validation,
CVE-2018-18368,15/11/2019 18:04,15/11/2019 17:15,4.6,269, Improper Privilege Management,
CVE-2009-5047,15/11/2019 16:15,15/11/2019 16:15,7.5,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2014-0023,15/11/2019 15:15,15/11/2019 15:15,4.6,668, Exposure of Resource to Wrong Sphere,
CVE-2013-7089,15/11/2019 15:15,15/11/2019 15:15,5,200, Information Exposure,
CVE-2013-7088,15/11/2019 15:15,15/11/2019 15:15,7.5,120, Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),
CVE-2013-7087,15/11/2019 15:15,15/11/2019 15:15,7.5,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-14345,15/11/2019 14:15,15/11/2019 14:15,7.5,269, Improper Privilege Management,
CVE-2019-14343,15/11/2019 13:15,15/11/2019 13:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-18986,15/11/2019 5:15,15/11/2019 5:15,5,307, Improper Restriction of Excessive Authentication Attempts,
CVE-2019-18985,15/11/2019 5:15,15/11/2019 5:15,5,307, Improper Restriction of Excessive Authentication Attempts,
CVE-2019-18982,15/11/2019 5:15,15/11/2019 5:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-18928,15/11/2019 4:15,15/11/2019 4:15,7.5,269, Improper Privilege Management,
CVE-2019-18980,15/11/2019 3:23,14/11/2019 22:15,5,287, Improper Authentication,
CVE-2019-11931,15/11/2019 3:23,14/11/2019 23:15,6.8,787, Out-of-bounds Write,
CVE-2019-2211,14/11/2019 21:36,13/11/2019 18:15,7.8,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
CVE-2019-2212,14/11/2019 21:30,13/11/2019 18:15,4.9,200, Information Exposure,
CVE-2019-2213,14/11/2019 21:24,13/11/2019 18:15,6.9,416, Use After Free,
CVE-2019-18978,14/11/2019 21:21,14/11/2019 21:15,5,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),
CVE-2019-18651,14/11/2019 21:21,14/11/2019 21:15,5.8,352, Cross-Site Request Forgery (CSRF),
CVE-2019-17391,14/11/2019 21:21,14/11/2019 21:15,2.1,200, Information Exposure,
CVE-2019-15804,14/11/2019 21:21,14/11/2019 21:15,5,20, Improper Input Validation,
CVE-2019-15803,14/11/2019 21:21,14/11/2019 21:15,6.4,20, Improper Input Validation,
CVE-2019-15801,14/11/2019 21:21,14/11/2019 21:15,5,522, Insufficiently Protected Credentials,
CVE-2019-15800,14/11/2019 21:21,14/11/2019 21:15,10,20, Improper Input Validation,
CVE-2019-15799,14/11/2019 21:21,14/11/2019 21:15,9,269, Improper Privilege Management,
CVE-2019-2214,14/11/2019 21:19,13/11/2019 18:15,7.2,269, Improper Privilege Management,
CVE-2019-18793,14/11/2019 21:14,13/11/2019 20:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-18646,14/11/2019 20:57,14/11/2019 15:15,6.5,89, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),
CVE-2019-14591,14/11/2019 20:57,14/11/2019 20:15,2.1,20, Improper Input Validation,
CVE-2019-14590,14/11/2019 20:57,14/11/2019 20:15,2.1,200, Information Exposure,
CVE-2019-14574,14/11/2019 20:57,14/11/2019 20:15,2.1,125, Out-of-bounds Read,
CVE-2019-11113,14/11/2019 20:57,14/11/2019 20:15,2.1,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-11111,14/11/2019 20:57,14/11/2019 20:15,4.6,476, NULL Pointer Dereference,
CVE-2019-11089,14/11/2019 20:57,14/11/2019 20:15,2.1,20, Improper Input Validation,
CVE-2019-0184,14/11/2019 20:57,14/11/2019 20:15,2.1,200, Information Exposure,
CVE-2019-0152,14/11/2019 20:57,14/11/2019 20:15,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-0151,14/11/2019 20:57,14/11/2019 20:15,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-0124,14/11/2019 20:57,14/11/2019 20:15,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-0123,14/11/2019 20:57,14/11/2019 20:15,7.2,119, Improper Restriction of Operations within the Bounds of a Memory Buffer,
CVE-2019-0117,14/11/2019 20:57,14/11/2019 20:15,2.1,200, Information Exposure,
CVE-2018-12207,14/11/2019 20:57,14/11/2019 20:15,4.9,20, Improper Input Validation,
CVE-2013-4106,14/11/2019 20:57,14/11/2019 20:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-16950,14/11/2019 20:45,13/11/2019 19:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-18647,14/11/2019 20:37,14/11/2019 15:15,9,74, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),
CVE-2019-18649,14/11/2019 20:23,14/11/2019 15:15,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-18648,14/11/2019 20:19,14/11/2019 15:15,3.5,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-18883,14/11/2019 19:57,13/11/2019 20:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2019-18939,14/11/2019 19:34,14/11/2019 19:15,7.5,20, Improper Input Validation,
CVE-2019-18938,14/11/2019 19:34,14/11/2019 19:15,7.5,20, Improper Input Validation,
CVE-2019-18937,14/11/2019 19:34,14/11/2019 19:15,7.5,20, Improper Input Validation,
CVE-2019-11139,14/11/2019 19:34,14/11/2019 19:15,2.1,754, Improper Check for Unusual or Exceptional Conditions,
CVE-2019-11135,14/11/2019 19:34,14/11/2019 19:15,2.1,200, Information Exposure,
CVE-2019-11112,14/11/2019 19:34,14/11/2019 19:15,7.2,269, Improper Privilege Management,
CVE-2019-0185,14/11/2019 19:34,14/11/2019 19:15,2.1,200, Information Exposure,
CVE-2019-0155,14/11/2019 19:34,14/11/2019 19:15,7.2,269, Improper Privilege Management,
CVE-2019-0150,14/11/2019 19:34,14/11/2019 19:15,2.1,863, Incorrect Authorization,
CVE-2019-0149,14/11/2019 19:34,14/11/2019 19:15,2.1,20, Improper Input Validation,
CVE-2019-0148,14/11/2019 19:34,14/11/2019 19:15,2.1,400, Uncontrolled Resource Consumption,
CVE-2019-0147,14/11/2019 19:34,14/11/2019 19:15,2.1,20, Improper Input Validation,
CVE-2019-0146,14/11/2019 19:34,14/11/2019 19:15,2.1,400, Uncontrolled Resource Consumption,
CVE-2019-0145,14/11/2019 19:34,14/11/2019 19:15,7.2,120, Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),
CVE-2019-0144,14/11/2019 19:34,14/11/2019 19:15,4.9,755, Improper Handling of Exceptional Conditions,
CVE-2019-0143,14/11/2019 19:34,14/11/2019 19:15,4.9,755, Improper Handling of Exceptional Conditions,
CVE-2019-0142,14/11/2019 19:34,14/11/2019 19:15,7.2,269, Improper Privilege Management,
CVE-2019-0140,14/11/2019 19:34,14/11/2019 19:15,5.8,120, Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),
CVE-2019-0139,14/11/2019 19:34,14/11/2019 19:15,4.6,269, Improper Privilege Management,
CVE-2013-4109,14/11/2019 19:34,14/11/2019 19:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2013-3073,14/11/2019 19:34,14/11/2019 18:15,10,22, Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),
CVE-2013-3072,14/11/2019 19:34,14/11/2019 19:15,7.5,287, Improper Authentication,
CVE-2013-3070,14/11/2019 19:34,14/11/2019 19:15,5,200, Information Exposure,
CVE-2012-4384,14/11/2019 19:23,13/11/2019 16:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2014-3592,14/11/2019 18:25,13/11/2019 16:15,4.3,79, Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),
CVE-2014-3655,14/11/2019 17:40,13/11/2019 16:15,4.3,352, Cross-Site Request Forgery (CSRF),
CVE-2019-16110,14/11/2019 17:31,14/11/2019 17:15,6.8,20, Improper Input Validation,
CVE-2019-15744,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15743,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15475,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15474,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15473,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15472,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15471,14/11/2019 17:31,14/11/2019 17:15,2.1,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15470,14/11/2019 17:31,14/11/2019 17:15,2.1,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15469,14/11/2019 17:31,14/11/2019 17:15,2.1,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15468,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15467,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15466,14/11/2019 17:31,14/11/2019 17:15,2.1,610, Externally Controlled Reference to a Resource in Another Sphere,
CVE-2019-15465,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15464,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15462,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15461,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15460,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15459,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15458,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15457,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15456,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15455,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15454,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15453,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15452,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15451,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15449,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15448,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15447,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15446,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15445,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15444,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15443,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15440,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15439,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15438,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15437,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15436,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15435,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15434,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15433,14/11/2019 17:31,14/11/2019 17:15,4.6,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15432,14/11/2019 17:31,14/11/2019 17:15,2.1,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15431,14/11/2019 17:31,14/11/2019 17:15,2.1,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15388,14/11/2019 17:31,14/11/2019 17:15,9.3,74, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),
CVE-2019-15387,14/11/2019 17:31,14/11/2019 17:15,2.1,732, Incorrect Permission Assignment for Critical Resource,
CVE-2019-15386,14/11/2019 17:31,14/11/2019 17:15,2.1,732, Incorrect Permission Assignment for Critical Resource,
